,data_representations,K1,B,factors,regularization,iterations,alpha,precision_at_k,map_at_k,ndcg_at_k
79,Normalized,,,6,0.02,15,1,0.34630672786697897,0.23320383266693073,0.33153760991536424
80,Normalized,,,6,0.02,30,1,0.3420104738656693,0.23333135638330696,0.3318952327866789
81,Normalized,,,7,0.005,10,1,0.31301139774825704,0.2056428779239699,0.2980453763199994
82,Normalized,,,7,0.005,15,1,0.3273100627759694,0.21784090265516537,0.3124827311152754
83,Normalized,,,7,0.005,30,1,0.3208312493712089,0.2138750780037185,0.3084895186947045
84,Normalized,,,7,0.01,10,1,0.3067319764201939,0.2018317325733104,0.2925697211632905
85,Normalized,,,7,0.01,15,1,0.3243890086260621,0.21893554054255054,0.31253639021625995
86,Normalized,,,7,0.01,30,1,0.3229459120318413,0.21454546724485826,0.3117974968750164
87,Normalized,,,7,0.02,10,1,0.313945787492417,0.2047038831107743,0.3001675088457777
88,Normalized,,,7,0.02,15,1,0.34280674146441364,0.23680702741532014,0.33333784995157856
89,Normalized,,,7,0.02,30,1,0.3329442451701349,0.22106632587613834,0.3196387703325054
90,Normalized,,,8,0.005,10,1,0.3031860179577216,0.20025604830940705,0.291363429519174
91,Normalized,,,8,0.005,15,1,0.31091667167078874,0.20447216109472838,0.29533948023710754
92,Normalized,,,8,0.005,30,1,0.3149842735321793,0.20452761514296283,0.2986103630868973
93,Normalized,,,8,0.01,10,1,0.2956944873951935,0.19361209436141108,0.2854894975211631
94,Normalized,,,8,0.01,15,1,0.318211193808206,0.2137180512629528,0.30682982913095647
95,Normalized,,,8,0.01,30,1,0.32417637924347675,0.21285273657839268,0.3090689584246335
96,Normalized,,,8,0.02,10,1,0.3098917150481849,0.204801804354335,0.2982191233301616
97,Normalized,,,8,0.02,15,1,0.3394702753579209,0.22776315705621014,0.32506123400957515
98,Normalized,,,8,0.02,30,1,0.3441019081296887,0.23077239841503056,0.3280577780962066
99,Normalized,,,9,0.005,10,1,0.28973136081799683,0.19099038853688,0.28344300772472975
100,Normalized,,,9,0.005,15,1,0.3100858440548356,0.20525141199229774,0.3022300109335241
101,Normalized,,,9,0.005,30,1,0.32363543216358504,0.21169354185425115,0.31052420835101785
102,Normalized,,,9,0.01,10,1,0.3032958181104973,0.2014230384362306,0.2937195623659222
103,Normalized,,,9,0.01,15,1,0.326650208881665,0.2168757718684068,0.3159507210359753
104,Normalized,,,9,0.01,30,1,0.32250227645355445,0.21194477183258767,0.3106353971798902
105,Normalized,,,9,0.02,10,1,0.2986152782835959,0.19724025531065195,0.2890396476589357
106,Normalized,,,9,0.02,15,1,0.3318234609342829,0.22112680694930872,0.3198782390357837
