,data_representations,K1,B,factors,regularization,iterations,precision_at_k,map_at_k
141,tfidf,,,6,0.02,10,0.16009792628605662,0.09364640446705652
142,tfidf,,,6,0.02,15,0.1874179215546696,0.1096684761209005
143,tfidf,,,6,0.02,30,0.17964165185523712,0.10670050356022669
144,tfidf,,,7,0.005,10,0.17997632455617332,0.10389136196553858
145,tfidf,,,7,0.005,15,0.1878481982468045,0.10670298889508563
146,tfidf,,,7,0.005,30,0.1866308395108887,0.10696898772552188
147,tfidf,,,7,0.01,10,0.17595611500898825,0.10132904140138192
148,tfidf,,,7,0.01,15,0.1971725421688575,0.11585384821121347
149,tfidf,,,7,0.01,30,0.1907160045449364,0.11276700531139454
150,tfidf,,,7,0.02,10,0.17141998614410753,0.10069451198585226
151,tfidf,,,7,0.02,15,0.18706511586793567,0.10820982553652966
152,tfidf,,,7,0.02,30,0.1924868452396358,0.11381533886212988
153,tfidf,,,8,0.005,10,0.18358728458830742,0.1088825040532327
