factors,alpha,regularization,iterations,p_at_k_mean,map_at_k_mean,ndcg_at_k_mean
5,1.0,0.01,50,0.46409376651237594,0.3594562706270627,0.4410011717199455
5,1.0,0.02,50,0.464095110273294,0.35915264026402643,0.4408561551958576
5,1.5,0.005,50,0.46175734860115614,0.35430610561056114,0.43628559954934637
5,1.5,0.01,50,0.4615424255682956,0.35450577557755786,0.4366703385293063
5,1.5,0.02,50,0.46227573670427285,0.35508498349834994,0.43724607572762025
10,0.5,0.005,50,0.40783789036957474,0.2993466721672168,0.38578754534724924
10,0.5,0.01,50,0.4105970138596288,0.30257068206820686,0.3890925005768386
10,0.5,0.02,50,0.40912488441688255,0.3006047854785479,0.387218659028165
10,1.0,0.005,50,0.41671019271330745,0.30621864686468653,0.3970534938497853
10,1.0,0.01,50,0.41766493484558725,0.30695627062706277,0.39781960058882054
10,1.0,0.02,50,0.4170342105786932,0.30663943894389445,0.39777119716533715
10,1.5,0.005,50,0.40273057278736835,0.2965738448844885,0.38938828141076176
10,1.5,0.01,50,0.4038925042991916,0.297582095709571,0.390554722723588
10,1.5,0.02,50,0.4039948803271265,0.29751773927392744,0.3904866021670175
20,0.5,0.005,50,0.35109544908096313,0.24734488448844885,0.3314107399156049
20,0.5,0.01,50,0.3498260560527096,0.24451430143014302,0.32926502126803875
20,0.5,0.02,50,0.34990977685584906,0.246593096809681,0.33062683900632395
20,1.0,0.005,50,0.32924983787721307,0.22478877887788776,0.3130697314883898
20,1.0,0.01,50,0.32893493678307684,0.2251254125412541,0.31271490400919894
20,1.0,0.02,50,0.33092566517008803,0.22646369636963695,0.31469280957738144
20,1.5,0.005,50,0.3449253093826785,0.2381072607260726,0.32991021490296346
20,1.5,0.01,50,0.3439730439310865,0.23845874587458743,0.32964766380227434
20,1.5,0.02,50,0.3451416548904857,0.2388003300330033,0.3296467622564931
50,0.5,0.005,50,0.23772273680581396,0.1478762376237623,0.21994797931960627
50,0.5,0.01,50,0.23477012579963613,0.14755734323432337,0.21765174891187472
50,0.5,0.02,50,0.2367866498983296,0.14546534653465343,0.21747055011943411
50,1.0,0.005,50,0.21992997600009268,0.13571465896589655,0.20580905786736986
50,1.0,0.01,50,0.22329801997109847,0.13783223322332228,0.20791720206725567
50,1.0,0.02,50,0.22299118144247057,0.13827612761276123,0.20853198485127333
50,1.5,0.005,50,0.2098462225868556,0.12518921892189216,0.1919619317004926
50,1.5,0.01,50,0.20976157970509451,0.12631600660066,0.19304541952804063
50,1.5,0.02,50,0.21272150268229298,0.12792588008800876,0.19557985650344037
70,0.5,0.005,50,0.18668587626312122,0.10449009900990097,0.1702545317394402
70,0.5,0.01,50,0.1858661961591827,0.10594224422442242,0.17104230936375286
70,0.5,0.02,50,0.18787494724754472,0.10717326732673264,0.17339741874615872
70,1.0,0.005,50,0.1849976121537159,0.09929702970297027,0.1650162738034976
70,1.0,0.01,50,0.18489868829818135,0.09962376237623759,0.1655539593222386
70,1.0,0.02,50,0.1882605532179363,0.10175577557755773,0.16872968892734613
70,1.5,0.005,50,0.17915569027648978,0.09941914191419138,0.16246069565748003
70,1.5,0.01,50,0.17864835587197098,0.09901210121012098,0.16241370794712093
70,1.5,0.02,50,0.1808736239522741,0.09994128162816278,0.16349914796456752
5,0.5,0.005,70,0.47984614724628527,0.37676897689768984,0.45866460317228497
5,0.5,0.01,70,0.4775347210391691,0.3746068481848186,0.4565592542082134
5,0.5,0.02,70,0.47827845335029956,0.37526526402640276,0.4572284797048961
5,1.0,0.005,70,0.46451705120156406,0.36045132013201325,0.44186733174892207
5,1.0,0.01,70,0.4622924550017199,0.3572995049504951,0.43889764144703974
5,1.0,0.02,70,0.46451818412133383,0.35886716171617167,0.44086610456730874
5,1.5,0.005,70,0.46059386248726664,0.353121287128713,0.43539823606349276
5,1.5,0.01,70,0.46217932888644053,0.3544463696369638,0.43659633735489767
5,1.5,0.02,70,0.4621728996370271,0.35427970297029715,0.43629068698979157
10,0.5,0.005,70,0.4099714144382444,0.30161386138613866,0.38771515216124647
10,0.5,0.01,70,0.40870399769435367,0.3010973597359737,0.38715565676293595
10,0.5,0.02,70,0.4108184448559314,0.30209075907590766,0.3883519822029335
10,1.0,0.005,70,0.42461379805196275,0.3152025577557756,0.4045972178563907
10,1.0,0.01,70,0.42482208099426166,0.3134533828382839,0.402948131935469
10,1.0,0.02,70,0.424613047457475,0.3138692244224423,0.4028683243753548
