,data_representations,K1,B,factors,regularization,iterations,precision_at_k,map_at_k
207,bm25,50.0,0.75,7,0.005,10,0.4872462614905829,0.3726991853285998
208,bm25,50.0,0.75,7,0.005,15,0.4865359017455453,0.37206444108369285
209,bm25,50.0,0.75,7,0.005,30,0.4880763328599745,0.37359425853544914
210,bm25,50.0,0.75,7,0.01,10,0.4873644648002755,0.37267140257537495
211,bm25,50.0,0.75,7,0.01,15,0.4862994951261599,0.37193321161425125
212,bm25,50.0,0.75,7,0.01,30,0.4880763328599745,0.3736049252021158
213,bm25,50.0,0.75,7,0.02,10,0.4876008714196609,0.3725991444351802
214,bm25,50.0,0.75,7,0.02,15,0.48570819847506697,0.37149187598213457
215,bm25,50.0,0.75,7,0.02,30,0.48807536284453734,0.37357219660466595
216,bm25,50.0,0.75,8,0.005,10,0.49866883362693637,0.3859703615267621
217,bm25,50.0,0.75,8,0.005,15,0.49856070995572954,0.38542288515875417
218,bm25,50.0,0.75,8,0.005,30,0.4966779459823454,0.3839343530960243
219,bm25,50.0,0.75,8,0.01,10,0.4990201928476406,0.3859741756204265
220,bm25,50.0,0.75,8,0.01,15,0.4985614734533259,0.3852950553715202
221,bm25,50.0,0.75,8,0.01,30,0.4967964293946676,0.3840135637171829
222,bm25,50.0,0.75,8,0.02,10,0.49913943975755926,0.38608212463932967
223,bm25,50.0,0.75,8,0.02,15,0.4984432701436333,0.3852790553715202
224,bm25,50.0,0.75,8,0.02,30,0.4969136626889232,0.384100995411172
225,bm25,50.0,0.75,9,0.005,10,0.500074853540221,0.3858006877728015
226,bm25,50.0,0.75,9,0.005,15,0.5002004344251145,0.38636730785874274
227,bm25,50.0,0.75,9,0.005,30,0.49973321637259077,0.3862434457168024
228,bm25,50.0,0.75,9,0.01,10,0.5000765134684657,0.3859944463657272
229,bm25,50.0,0.75,9,0.01,15,0.5000797439046445,0.3861978985876324
230,bm25,50.0,0.75,9,0.01,30,0.4994968097532054,0.38615993769541207
231,bm25,50.0,0.75,9,0.02,10,0.49925248374189507,0.38563362966012915
232,bm25,50.0,0.75,9,0.02,15,0.4997282505397186,0.3858865129920015
233,bm25,50.0,0.75,9,0.02,30,0.4996150130628981,0.3862577154731899
234,bm25,50.0,0.75,10,0.005,10,0.5024136744698511,0.3896423615619595
235,bm25,50.0,0.75,10,0.005,15,0.5040681142208742,0.38959302276856644
236,bm25,50.0,0.75,10,0.005,30,0.5055011732241651,0.3896243167318145
237,bm25,50.0,0.75,10,0.01,10,0.5027673781684285,0.3894018802677601
238,bm25,50.0,0.75,10,0.01,15,0.5041823867092381,0.38959496870011157
239,bm25,50.0,0.75,10,0.01,30,0.5057379928792318,0.38970074936967547
240,bm25,50.0,0.75,10,0.02,10,0.5024157388450946,0.38885722428799074
241,bm25,50.0,0.75,10,0.02,15,0.5039452771516892,0.3895617815448366
242,bm25,50.0,0.75,10,0.02,30,0.5056204103342313,0.38969115801206755
243,bm25,50.0,0.75,15,0.005,10,0.5064226128160512,0.3913781336984058
244,bm25,50.0,0.75,15,0.005,15,0.504903370842993,0.39089612207661734
245,bm25,50.0,0.75,15,0.005,30,0.5017254324211946,0.390297547353204
246,bm25,50.0,0.75,15,0.01,10,0.5067788233251107,0.39168448487321633
247,bm25,50.0,0.75,15,0.01,15,0.5049035741353303,0.3908995694442804
248,bm25,50.0,0.75,15,0.01,30,0.5019608690251429,0.3902815167900787
249,bm25,50.0,0.75,15,0.02,10,0.5071309330180553,0.39159037331424446
250,bm25,50.0,0.75,15,0.02,15,0.5050230275630895,0.39091851682489626
251,bm25,50.0,0.75,15,0.02,30,0.5020790723348356,0.39037014338388565
252,bm25,50.0,1.0,3,0.005,10,0.40740636153079113,0.28613943856156654
253,bm25,50.0,1.0,3,0.005,15,0.40892310955740047,0.2870231511121943
254,bm25,50.0,1.0,3,0.005,30,0.40856462198891375,0.28696395137592307
255,bm25,50.0,1.0,3,0.01,10,0.40857987838413734,0.28708917279696305
256,bm25,50.0,1.0,3,0.01,15,0.4090402822922233,0.2869421636762656
257,bm25,50.0,1.0,3,0.01,30,0.4085640617836546,0.2874714537850654
258,bm25,50.0,1.0,3,0.02,10,0.40822600469077386,0.28716844950310133
259,bm25,50.0,1.0,3,0.02,15,0.4085704428847003,0.2867114246133964
260,bm25,50.0,1.0,3,0.02,30,0.40832759137933283,0.28734318670465087
261,bm25,50.0,1.0,6,0.005,10,0.47421299099065334,0.3585475910340607
262,bm25,50.0,1.0,6,0.005,15,0.4749177868326614,0.3588319204154015
263,bm25,50.0,1.0,6,0.005,30,0.4739751537860726,0.3578543393263285
264,bm25,50.0,1.0,6,0.01,10,0.47456788102236097,0.3587336571727865
265,bm25,50.0,1.0,6,0.01,15,0.4746804101978389,0.35869457008146105
266,bm25,50.0,1.0,6,0.01,30,0.4740933570957653,0.3579450059929951
267,bm25,50.0,1.0,6,0.02,10,0.47444648756372737,0.3587629490344811
268,bm25,50.0,1.0,6,0.02,15,0.47479861350753155,0.35860302909785446
269,bm25,50.0,1.0,6,0.02,30,0.4740933570957653,0.3579094504374396
270,bm25,50.0,1.0,7,0.005,10,0.48752346804454494,0.37312696856167055
271,bm25,50.0,1.0,7,0.005,15,0.488104052354932,0.37437342767360476
272,bm25,50.0,1.0,7,0.005,30,0.4888133196238231,0.37433405506158224
273,bm25,50.0,1.0,7,0.01,10,0.4879893668308866,0.3736184492546463
274,bm25,50.0,1.0,7,0.01,15,0.4881035591601128,0.3746164721181321
275,bm25,50.0,1.0,7,0.01,30,0.4886951163141305,0.3741599819693061
276,bm25,50.0,1.0,7,0.02,10,0.48717347348642415,0.37306093629898185
277,bm25,50.0,1.0,7,0.02,15,0.4885736786702653,0.3747211088836203
278,bm25,50.0,1.0,7,0.02,30,0.4888120695057564,0.3740836286969489
279,bm25,50.0,1.0,8,0.005,10,0.49867676751987117,0.3855492803596257
280,bm25,50.0,1.0,8,0.005,15,0.49963614315847077,0.3861934175753926
281,bm25,50.0,1.0,8,0.005,30,0.49657610096651783,0.38323960141388697
282,bm25,50.0,1.0,8,0.01,10,0.49773453448360794,0.3852954814491506
283,bm25,50.0,1.0,8,0.01,15,0.5003372557800605,0.3869579585688088
